Training,Contact Email,Contact Name,Client,Account Manager,From Date,Client ID
Prep 102 - 2020-11-26,aaren.saffill@blanda-mosciski.com,Aaren Saffill,Blanda-Mosciski,Nancy Smith,2016-08-31T00:00:00Z,765
Prep 103 - 2020-10-08,aaren.saffill@blanda-mosciski.com,Aaren Saffill,Blanda-Mosciski,Nancy Smith,2016-08-31T00:00:00Z,765
Tableau 101 - 2020-09-10,aaren.saffill@blanda-mosciski.com,Aaren Saffill,Blanda-Mosciski,Nancy Smith,2016-08-31T00:00:00Z,765
Prep 101 - 2020-10-01,abagael.matresse@brauninc.com,Abagael Matresse,Braun Inc,Oscar Adams,2020-06-30T00:00:00Z,2460
Prep 102 - 2020-09-10,abagael.matresse@brauninc.com,Abagael Matresse,Braun Inc,Oscar Adams,2020-06-30T00:00:00Z,2460
Prep 103 - 2020-10-08,abagael.matresse@brauninc.com,Abagael Matresse,Braun Inc,Oscar Adams,2020-06-30T00:00:00Z,2460
Tableau 101 - 2020-09-10,abagael.matresse@brauninc.com,Abagael Matresse,Braun Inc,Oscar Adams,2020-06-30T00:00:00Z,2460
Tableau 102 - 2020-11-12,abagael.matresse@brauninc.com,Abagael Matresse,Braun Inc,Oscar Adams,2020-06-30T00:00:00Z,2460
Tableau 103 - 2020-09-10,abagael.matresse@brauninc.com,Abagael Matresse,Braun Inc,Oscar Adams,2020-06-30T00:00:00Z,2460
Tableau 104 - 2020-09-17,abagael.matresse@brauninc.com,Abagael Matresse,Braun Inc,Oscar Adams,2020-06-30T00:00:00Z,2460
Prep 101 - 2020-10-01,abagail.macconnell@lakinllc.com,Abagail MacConnell,Lakin LLC,Lucy Stevenson,2019-01-01T00:00:00Z,924
Prep 102 - 2020-09-10,abagail.macconnell@lakinllc.com,Abagail MacConnell,Lakin LLC,Lucy Stevenson,2019-01-01T00:00:00Z,924
Prep 103 - 2020-10-08,abagail.macconnell@lakinllc.com,Abagail MacConnell,Lakin LLC,Lucy Stevenson,2019-01-01T00:00:00Z,924
Tableau 101 - 2020-09-10,abagail.macconnell@lakinllc.com,Abagail MacConnell,Lakin LLC,Lucy Stevenson,2019-01-01T00:00:00Z,924
Tableau 102 - 2020-11-12,abagail.macconnell@lakinllc.com,Abagail MacConnell,Lakin LLC,Lucy Stevenson,2019-01-01T00:00:00Z,924
